county_FIPS,NAME,Percent_Uninsured,Year
0500000US17201,"Winnebago County, Illinois",93.0,2021
0500000US18003,"Allen County, Indiana",91.4,2021
0500000US18005,"Bartholomew County, Indiana",95.6,2021
0500000US18011,"Boone County, Indiana",96.4,2021
0500000US18019,"Clark County, Indiana",93.5,2021
0500000US18035,"Delaware County, Indiana",94.0,2021
0500000US18039,"Elkhart County, Indiana",86.7,2021
0500000US18043,"Floyd County, Indiana",94.7,2021
0500000US18053,"Grant County, Indiana",92.1,2021
0500000US18057,"Hamilton County, Indiana",94.5,2021
0500000US18059,"Hancock County, Indiana",93.8,2021
0500000US18063,"Hendricks County, Indiana",95.0,2021
0500000US18067,"Howard County, Indiana",95.1,2021
0500000US18081,"Johnson County, Indiana",94.3,2021
0500000US18085,"Kosciusko County, Indiana",89.6,2021
0500000US18089,"Lake County, Indiana",91.5,2021
0500000US18091,"LaPorte County, Indiana",96.1,2021
0500000US18095,"Madison County, Indiana",91.6,2021
0500000US18097,"Marion County, Indiana",91.3,2021
0500000US18105,"Monroe County, Indiana",94.1,2021
0500000US18109,"Morgan County, Indiana",92.8,2021
0500000US18127,"Porter County, Indiana",96.5,2021
0500000US18141,"St. Joseph County, Indiana",92.7,2021
0500000US18157,"Tippecanoe County, Indiana",93.4,2021
0500000US18163,"Vanderburgh County, Indiana",93.7,2021
0500000US18167,"Vigo County, Indiana",93.2,2021
0500000US18177,"Wayne County, Indiana",93.2,2021
0500000US19013,"Black Hawk County, Iowa",95.1,2021
0500000US19049,"Dallas County, Iowa",95.5,2021
0500000US19061,"Dubuque County, Iowa",97.0,2021
0500000US19103,"Johnson County, Iowa",94.9,2021
0500000US19113,"Linn County, Iowa",96.8,2021
0500000US19153,"Polk County, Iowa",95.5,2021
0500000US19155,"Pottawattamie County, Iowa",93.1,2021
0500000US19163,"Scott County, Iowa",95.5,2021
0500000US19169,"Story County, Iowa",96.1,2021
0500000US19193,"Woodbury County, Iowa",92.1,2021
0500000US20015,"Butler County, Kansas",94.3,2021
0500000US20045,"Douglas County, Kansas",91.1,2021
0500000US20091,"Johnson County, Kansas",94.7,2021
0500000US20103,"Leavenworth County, Kansas",94.2,2021
0500000US20161,"Riley County, Kansas",94.3,2021
0500000US20173,"Sedgwick County, Kansas",88.9,2021
0500000US20177,"Shawnee County, Kansas",90.6,2021
0500000US20209,"Wyandotte County, Kansas",81.4,2021
0500000US21015,"Boone County, Kentucky",96.5,2021
0500000US21029,"Bullitt County, Kentucky",96.6,2021
0500000US21037,"Campbell County, Kentucky",95.9,2021
0500000US21047,"Christian County, Kentucky",90.4,2021
0500000US21059,"Daviess County, Kentucky",94.8,2021
0500000US21067,"Fayette County, Kentucky",92.7,2021
0500000US21093,"Hardin County, Kentucky",93.0,2021
0500000US21111,"Jefferson County, Kentucky",94.3,2021
0500000US21117,"Kenton County, Kentucky",96.0,2021
0500000US21145,"McCracken County, Kentucky",95.9,2021
0500000US21151,"Madison County, Kentucky",95.1,2021
0500000US21185,"Oldham County, Kentucky",98.4,2021
0500000US21199,"Pulaski County, Kentucky",94.3,2021
0500000US21227,"Warren County, Kentucky",94.1,2021
0500000US22005,"Ascension Parish, Louisiana",93.0,2021
0500000US22015,"Bossier Parish, Louisiana",90.6,2021
0500000US22017,"Caddo Parish, Louisiana",93.8,2021
0500000US22019,"Calcasieu Parish, Louisiana",92.0,2021
0500000US22033,"East Baton Rouge Parish, Louisiana",92.4,2021
0500000US22045,"Iberia Parish, Louisiana",93.8,2021
0500000US22051,"Jefferson Parish, Louisiana",90.0,2021
0500000US22055,"Lafayette Parish, Louisiana",92.7,2021
0500000US22057,"Lafourche Parish, Louisiana",96.4,2021
0500000US22063,"Livingston Parish, Louisiana",91.3,2021
0500000US22071,"Orleans Parish, Louisiana",92.7,2021
0500000US22073,"Ouachita Parish, Louisiana",91.8,2021
0500000US22079,"Rapides Parish, Louisiana",90.5,2021
0500000US22097,"St. Landry Parish, Louisiana",90.1,2021
0500000US22103,"St. Tammany Parish, Louisiana",93.4,2021
0500000US22105,"Tangipahoa Parish, Louisiana",92.7,2021
0500000US22109,"Terrebonne Parish, Louisiana",93.5,2021
0500000US23001,"Androscoggin County, Maine",94.7,2021
0500000US23003,"Aroostook County, Maine",92.7,2021
0500000US23005,"Cumberland County, Maine",96.3,2021
0500000US23011,"Kennebec County, Maine",94.2,2021
0500000US23019,"Penobscot County, Maine",93.1,2021
0500000US23031,"York County, Maine",95.0,2021
0500000US25001,"Barnstable County, Massachusetts",97.2,2021
0500000US25003,"Berkshire County, Massachusetts",98.0,2021
0500000US25005,"Bristol County, Massachusetts",97.2,2021
0500000US25009,"Essex County, Massachusetts",97.5,2021
0500000US25011,"Franklin County, Massachusetts",98.0,2021
0500000US25013,"Hampden County, Massachusetts",96.6,2021
0500000US25015,"Hampshire County, Massachusetts",98.7,2021
0500000US25017,"Middlesex County, Massachusetts",97.9,2021
0500000US25021,"Norfolk County, Massachusetts",97.7,2021
0500000US25023,"Plymouth County, Massachusetts",97.5,2021
0500000US25025,"Suffolk County, Massachusetts",96.9,2021
0500000US25027,"Worcester County, Massachusetts",97.6,2021
0500000US26005,"Allegan County, Michigan",95.5,2021
0500000US26017,"Bay County, Michigan",95.7,2021
0500000US26021,"Berrien County, Michigan",94.1,2021
0500000US26025,"Calhoun County, Michigan",94.3,2021
0500000US26037,"Clinton County, Michigan",97.6,2021
0500000US26045,"Eaton County, Michigan",95.0,2021
0500000US26049,"Genesee County, Michigan",94.7,2021
0500000US26055,"Grand Traverse County, Michigan",97.0,2021
0500000US26065,"Ingham County, Michigan",94.2,2021
0500000US26067,"Ionia County, Michigan",94.1,2021
0500000US26075,"Jackson County, Michigan",93.7,2021
0500000US26077,"Kalamazoo County, Michigan",96.0,2021
0500000US26081,"Kent County, Michigan",95.1,2021
0500000US26087,"Lapeer County, Michigan",95.6,2021
0500000US26091,"Lenawee County, Michigan",96.0,2021
0500000US26093,"Livingston County, Michigan",97.4,2021
0500000US26099,"Macomb County, Michigan",94.9,2021
0500000US26103,"Marquette County, Michigan",97.1,2021
0500000US26111,"Midland County, Michigan",96.5,2021
0500000US26115,"Monroe County, Michigan",96.8,2021
0500000US26117,"Montcalm County, Michigan",92.2,2021
0500000US26121,"Muskegon County, Michigan",95.4,2021
0500000US26125,"Oakland County, Michigan",96.3,2021
0500000US26139,"Ottawa County, Michigan",97.1,2021
0500000US26145,"Saginaw County, Michigan",95.0,2021
0500000US26147,"St. Clair County, Michigan",94.8,2021
0500000US26155,"Shiawassee County, Michigan",95.8,2021
0500000US26159,"Van Buren County, Michigan",90.8,2021
0500000US26161,"Washtenaw County, Michigan",96.2,2021
0500000US26163,"Wayne County, Michigan",94.3,2021
0500000US27003,"Anoka County, Minnesota",95.8,2021
0500000US27013,"Blue Earth County, Minnesota",96.8,2021
0500000US27019,"Carver County, Minnesota",98.0,2021
0500000US27027,"Clay County, Minnesota",96.7,2021
0500000US27035,"Crow Wing County, Minnesota",91.8,2021
0500000US27037,"Dakota County, Minnesota",96.2,2021
0500000US27053,"Hennepin County, Minnesota",95.4,2021
0500000US27109,"Olmsted County, Minnesota",96.9,2021
0500000US27123,"Ramsey County, Minnesota",95.1,2021
0500000US27131,"Rice County, Minnesota",94.7,2021
0500000US27137,"St. Louis County, Minnesota",96.7,2021
0500000US27139,"Scott County, Minnesota",96.1,2021
0500000US27141,"Sherburne County, Minnesota",96.7,2021
0500000US27145,"Stearns County, Minnesota",96.4,2021
0500000US27163,"Washington County, Minnesota",97.1,2021
0500000US27171,"Wright County, Minnesota",95.9,2021
0500000US28033,"DeSoto County, Mississippi",91.2,2021
0500000US28035,"Forrest County, Mississippi",86.4,2021
0500000US28047,"Harrison County, Mississippi",86.5,2021
0500000US28049,"Hinds County, Mississippi",85.7,2021
0500000US28059,"Jackson County, Mississippi",86.3,2021
0500000US28067,"Jones County, Mississippi",84.8,2021
0500000US28073,"Lamar County, Mississippi",89.6,2021
0500000US28075,"Lauderdale County, Mississippi",90.9,2021
0500000US28081,"Lee County, Mississippi",89.3,2021
0500000US28089,"Madison County, Mississippi",88.9,2021
0500000US28121,"Rankin County, Mississippi",89.3,2021
0500000US29019,"Boone County, Missouri",92.3,2021
0500000US29021,"Buchanan County, Missouri",87.6,2021
0500000US29031,"Cape Girardeau County, Missouri",91.5,2021
0500000US29037,"Cass County, Missouri",92.7,2021
0500000US29043,"Christian County, Missouri",91.3,2021
0500000US29047,"Clay County, Missouri",92.7,2021
0500000US29051,"Cole County, Missouri",92.5,2021
0500000US29071,"Franklin County, Missouri",91.9,2021
0500000US29077,"Greene County, Missouri",89.8,2021
0500000US29095,"Jackson County, Missouri",87.9,2021
0500000US29097,"Jasper County, Missouri",86.5,2021
0500000US29099,"Jefferson County, Missouri",93.3,2021
0500000US29165,"Platte County, Missouri",92.2,2021
0500000US29183,"St. Charles County, Missouri",95.8,2021
0500000US29187,"St. Francois County, Missouri",91.6,2021
0500000US29189,"St. Louis County, Missouri",94.1,2021
0500000US29510,"St. Louis city, Missouri",89.0,2021
0500000US30013,"Cascade County, Montana",92.8,2021
0500000US30029,"Flathead County, Montana",91.6,2021
0500000US30031,"Gallatin County, Montana",94.2,2021
0500000US30049,"Lewis and Clark County, Montana",95.9,2021
0500000US30063,"Missoula County, Montana",94.3,2021
0500000US30111,"Yellowstone County, Montana",92.7,2021
0500000US31055,"Douglas County, Nebraska",91.6,2021
0500000US31109,"Lancaster County, Nebraska",94.5,2021
0500000US31153,"Sarpy County, Nebraska",94.7,2021
0500000US32003,"Clark County, Nevada",87.3,2021
0500000US32031,"Washoe County, Nevada",90.6,2021
0500000US33005,"Cheshire County, New Hampshire",93.5,2021
0500000US33009,"Grafton County, New Hampshire",96.4,2021
0500000US33011,"Hillsborough County, New Hampshire",94.1,2021
0500000US33013,"Merrimack County, New Hampshire",95.7,2021
0500000US33015,"Rockingham County, New Hampshire",95.9,2021
0500000US33017,"Strafford County, New Hampshire",94.6,2021
0500000US34001,"Atlantic County, New Jersey",91.6,2021
0500000US34003,"Bergen County, New Jersey",93.6,2021
0500000US34005,"Burlington County, New Jersey",96.1,2021
0500000US34007,"Camden County, New Jersey",93.7,2021
0500000US34009,"Cape May County, New Jersey",95.1,2021
0500000US34011,"Cumberland County, New Jersey",91.4,2021
0500000US34013,"Essex County, New Jersey",88.7,2021
0500000US34015,"Gloucester County, New Jersey",96.0,2021
0500000US34017,"Hudson County, New Jersey",88.9,2021
0500000US34019,"Hunterdon County, New Jersey",97.1,2021
0500000US34021,"Mercer County, New Jersey",94.6,2021
0500000US34023,"Middlesex County, New Jersey",93.5,2021
0500000US34025,"Monmouth County, New Jersey",94.9,2021
0500000US34027,"Morris County, New Jersey",95.0,2021
0500000US34029,"Ocean County, New Jersey",95.6,2021
0500000US34031,"Passaic County, New Jersey",88.7,2021
0500000US34033,"Salem County, New Jersey",95.6,2021
0500000US34035,"Somerset County, New Jersey",95.7,2021
0500000US34037,"Sussex County, New Jersey",95.3,2021
0500000US34039,"Union County, New Jersey",88.2,2021
0500000US34041,"Warren County, New Jersey",94.1,2021
0500000US35001,"Bernalillo County, New Mexico",90.3,2021
0500000US35013,"Doña Ana County, New Mexico",87.6,2021
0500000US35025,"Lea County, New Mexico",81.2,2021
0500000US35031,"McKinley County, New Mexico",80.2,2021
0500000US35035,"Otero County, New Mexico",94.3,2021
0500000US35043,"Sandoval County, New Mexico",94.7,2021
0500000US35045,"San Juan County, New Mexico",85.4,2021
0500000US35049,"Santa Fe County, New Mexico",93.2,2021
0500000US35061,"Valencia County, New Mexico",92.2,2021
0500000US36001,"Albany County, New York",96.8,2021
0500000US36005,"Bronx County, New York",92.4,2021
0500000US36007,"Broome County, New York",96.6,2021
0500000US36009,"Cattaraugus County, New York",93.8,2021
0500000US36011,"Cayuga County, New York",96.5,2021
0500000US36013,"Chautauqua County, New York",95.1,2021
0500000US36015,"Chemung County, New York",95.3,2021
0500000US36019,"Clinton County, New York",97.4,2021
0500000US36027,"Dutchess County, New York",96.0,2021
0500000US36029,"Erie County, New York",97.5,2021
0500000US36045,"Jefferson County, New York",93.3,2021
0500000US36047,"Kings County, New York",93.9,2021
0500000US36053,"Madison County, New York",97.2,2021
0500000US36055,"Monroe County, New York",96.8,2021
0500000US36059,"Nassau County, New York",96.4,2021
0500000US36061,"New York County, New York",95.3,2021
0500000US36063,"Niagara County, New York",97.4,2021
0500000US36065,"Oneida County, New York",96.5,2021
0500000US36067,"Onondaga County, New York",96.7,2021
0500000US36069,"Ontario County, New York",96.8,2021
0500000US36071,"Orange County, New York",95.9,2021
0500000US36075,"Oswego County, New York",95.9,2021
0500000US36079,"Putnam County, New York",95.4,2021
0500000US36081,"Queens County, New York",91.4,2021
0500000US36083,"Rensselaer County, New York",96.4,2021
0500000US36085,"Richmond County, New York",95.8,2021
0500000US36087,"Rockland County, New York",96.5,2021
0500000US36089,"St. Lawrence County, New York",94.3,2021
0500000US36091,"Saratoga County, New York",96.4,2021
0500000US36093,"Schenectady County, New York",96.3,2021
0500000US36101,"Steuben County, New York",94.9,2021
0500000US36103,"Suffolk County, New York",95.1,2021
0500000US36105,"Sullivan County, New York",96.5,2021
0500000US36109,"Tompkins County, New York",95.6,2021
0500000US36111,"Ulster County, New York",94.5,2021
0500000US36113,"Warren County, New York",97.3,2021
0500000US36117,"Wayne County, New York",93.6,2021
0500000US36119,"Westchester County, New York",94.6,2021
0500000US37001,"Alamance County, North Carolina",89.5,2021
0500000US37019,"Brunswick County, North Carolina",91.5,2021
0500000US37021,"Buncombe County, North Carolina",91.1,2021
0500000US37023,"Burke County, North Carolina",90.0,2021
0500000US37025,"Cabarrus County, North Carolina",91.1,2021
0500000US37027,"Caldwell County, North Carolina",90.8,2021
0500000US37031,"Carteret County, North Carolina",88.3,2021
0500000US37035,"Catawba County, North Carolina",89.4,2021
0500000US37037,"Chatham County, North Carolina",91.5,2021
0500000US37045,"Cleveland County, North Carolina",86.9,2021
0500000US37049,"Craven County, North Carolina",92.7,2021
0500000US37051,"Cumberland County, North Carolina",89.8,2021
0500000US37057,"Davidson County, North Carolina",89.7,2021
0500000US37063,"Durham County, North Carolina",88.5,2021
0500000US37067,"Forsyth County, North Carolina",89.3,2021
0500000US37069,"Franklin County, North Carolina",91.2,2021
0500000US37071,"Gaston County, North Carolina",90.0,2021
0500000US37081,"Guilford County, North Carolina",90.9,2021
0500000US37085,"Harnett County, North Carolina",89.7,2021
0500000US37089,"Henderson County, North Carolina",88.7,2021
0500000US37097,"Iredell County, North Carolina",90.6,2021
0500000US37101,"Johnston County, North Carolina",89.6,2021
0500000US37109,"Lincoln County, North Carolina",90.0,2021
0500000US37119,"Mecklenburg County, North Carolina",88.2,2021
0500000US37125,"Moore County, North Carolina",91.1,2021
0500000US37127,"Nash County, North Carolina",87.9,2021
0500000US37129,"New Hanover County, North Carolina",91.0,2021
0500000US37133,"Onslow County, North Carolina",87.8,2021
0500000US37135,"Orange County, North Carolina",93.2,2021
0500000US37147,"Pitt County, North Carolina",89.5,2021
0500000US37151,"Randolph County, North Carolina",87.7,2021
0500000US37155,"Robeson County, North Carolina",85.8,2021
0500000US37157,"Rockingham County, North Carolina",88.8,2021
0500000US37159,"Rowan County, North Carolina",87.5,2021
0500000US37171,"Surry County, North Carolina",87.8,2021
0500000US37179,"Union County, North Carolina",91.6,2021
0500000US37183,"Wake County, North Carolina",91.8,2021
0500000US37191,"Wayne County, North Carolina",87.5,2021
0500000US37193,"Wilkes County, North Carolina",85.9,2021
0500000US37195,"Wilson County, North Carolina",83.6,2021
0500000US38015,"Burleigh County, North Dakota",94.9,2021
0500000US38017,"Cass County, North Dakota",94.2,2021
0500000US38035,"Grand Forks County, North Dakota",93.2,2021
0500000US38101,"Ward County, North Dakota",90.8,2021
0500000US39003,"Allen County, Ohio",93.2,2021
0500000US39007,"Ashtabula County, Ohio",87.6,2021
0500000US39013,"Belmont County, Ohio",93.2,2021
0500000US39017,"Butler County, Ohio",92.4,2021
0500000US39023,"Clark County, Ohio",94.2,2021
0500000US39025,"Clermont County, Ohio",93.8,2021
0500000US39029,"Columbiana County, Ohio",92.1,2021
0500000US39035,"Cuyahoga County, Ohio",94.8,2021
0500000US39041,"Delaware County, Ohio",95.9,2021
0500000US39043,"Erie County, Ohio",91.5,2021
0500000US39045,"Fairfield County, Ohio",92.1,2021
0500000US39049,"Franklin County, Ohio",91.8,2021
0500000US39055,"Geauga County, Ohio",89.6,2021
0500000US39057,"Greene County, Ohio",94.3,2021
0500000US39061,"Hamilton County, Ohio",94.4,2021
0500000US39063,"Hancock County, Ohio",94.3,2021
0500000US39085,"Lake County, Ohio",95.9,2021
0500000US39089,"Licking County, Ohio",94.1,2021
0500000US39093,"Lorain County, Ohio",95.0,2021
0500000US39095,"Lucas County, Ohio",94.7,2021
0500000US39099,"Mahoning County, Ohio",95.6,2021
0500000US39101,"Marion County, Ohio",95.0,2021
0500000US39103,"Medina County, Ohio",97.2,2021
0500000US39109,"Miami County, Ohio",94.8,2021
0500000US39113,"Montgomery County, Ohio",93.9,2021
0500000US39119,"Muskingum County, Ohio",92.1,2021
0500000US39133,"Portage County, Ohio",93.8,2021
0500000US39139,"Richland County, Ohio",90.5,2021
